ID,FECHA,DEVICE,TEMPERATURA,AMPERAJE
1,06/06/2023 16:33,ESP32,32,6
2,06/06/2023 16:33,ESP32,31,5
3,06/06/2023 16:33,ESP32,31,6
4,06/06/2023 16:33,ESP32,31,6
5,06/06/2023 16:33,ESP32,31,5
6,06/06/2023 16:33,ESP32,31,6
7,06/06/2023 16:33,ESP32,32,6
8,06/06/2023 16:33,ESP32,31,5
9,06/06/2023 16:33,ESP32,31,6
10,06/06/2023 16:33,ESP32,31,6
11,06/06/2023 16:34,ESP32,31,6
12,06/06/2023 16:34,ESP32,31,6
13,06/06/2023 16:34,ESP32,31,5
14,06/06/2023 16:34,ESP32,31,5
15,06/06/2023 16:34,ESP32,31,5
16,06/06/2023 16:34,ESP32,31,5
17,06/06/2023 16:34,ESP32,31,5
18,06/06/2023 16:34,ESP32,30,5
19,06/06/2023 16:34,ESP32,31,5
20,06/06/2023 16:34,ESP32,31,6
21,06/06/2023 16:34,ESP32,31,5
22,06/06/2023 16:34,ESP32,31,6
23,06/06/2023 16:34,ESP32,31,5
24,06/06/2023 16:34,ESP32,31,6
25,06/06/2023 16:34,ESP32,31,6
26,06/06/2023 16:34,ESP32,31,6
27,06/06/2023 16:34,ESP32,31,6
28,06/06/2023 16:34,ESP32,31,5
29,06/06/2023 16:34,ESP32,31,6
30,06/06/2023 16:34,ESP32,31,5
31,06/06/2023 16:34,ESP32,31,6
32,06/06/2023 16:34,ESP32,31,5
33,06/06/2023 16:34,ESP32,31,5
34,06/06/2023 16:34,ESP32,31,6
35,06/06/2023 16:34,ESP32,31,6
36,06/06/2023 16:34,ESP32,31,5
37,06/06/2023 16:34,ESP32,31,5
38,06/06/2023 16:34,ESP32,31,6
39,06/06/2023 16:34,ESP32,31,6
40,06/06/2023 16:34,ESP32,31,6
41,06/06/2023 16:35,ESP32,31,5
42,06/06/2023 16:35,ESP32,31,5
43,06/06/2023 16:35,ESP32,31,5
44,06/06/2023 16:35,ESP32,31,5
45,06/06/2023 16:35,ESP32,31,6
46,06/06/2023 16:35,ESP32,31,6
47,06/06/2023 16:35,ESP32,31,5
48,06/06/2023 16:35,ESP32,31,5
49,06/06/2023 16:35,ESP32,31,6
50,06/06/2023 16:37,ESP32,31,6
51,06/06/2023 16:37,ESP32,31,5
52,06/06/2023 16:37,ESP32,31,6
53,06/06/2023 16:37,ESP32,31,5
54,06/06/2023 16:37,ESP32,30,5
55,06/06/2023 16:37,ESP32,31,6
56,06/06/2023 16:37,ESP32,31,5
57,06/06/2023 16:37,ESP32,31,6
58,06/06/2023 16:37,ESP32,31,5
59,06/06/2023 16:37,ESP32,31,5
60,06/06/2023 16:37,ESP32,31,6
61,06/06/2023 16:37,ESP32,31,5
62,06/06/2023 16:37,ESP32,31,6
63,06/06/2023 16:38,ESP32,31,6
64,06/06/2023 16:38,ESP32,31,6
65,06/06/2023 16:39,ESP32,31,6
66,06/06/2023 16:39,ESP32,31,5
67,06/06/2023 16:40,ESP32,31,5
68,06/06/2023 16:40,ESP32,31,5
69,06/06/2023 16:41,ESP32,31,5
70,06/06/2023 16:41,ESP32,31,5
71,06/06/2023 16:42,ESP32,31,6
72,06/06/2023 16:42,ESP32,31,5
73,06/06/2023 16:43,ESP32,31,5
74,06/06/2023 16:43,ESP32,31,5
75,06/06/2023 16:44,ESP32,31,6
76,06/06/2023 16:44,ESP32,31,5
77,06/06/2023 16:45,ESP32,31,5
78,06/06/2023 16:45,ESP32,31,6
79,06/06/2023 16:46,ESP32,31,6
80,06/06/2023 16:46,ESP32,31,5
81,06/06/2023 17:32,ESP32,29,6
82,06/06/2023 17:32,ESP32,29,6
83,06/06/2023 17:51,ESP32,29,6
84,06/06/2023 17:51,ESP32,29,5
85,06/06/2023 18:08,ESP32,29,6
86,06/06/2023 18:08,ESP32,29,5
87,06/06/2023 18:09,ESP32,29,5
88,06/06/2023 18:09,ESP32,29,5
89,06/06/2023 18:10,ESP32,29,5
90,06/06/2023 18:10,ESP32,29,6
91,06/06/2023 18:11,ESP32,29,5
92,06/06/2023 18:11,ESP32,29,5
93,06/06/2023 18:12,ESP32,30,6
94,06/06/2023 18:12,ESP32,30,6
95,06/06/2023 18:13,ESP32,30,5
96,06/06/2023 18:13,ESP32,30,6
97,06/06/2023 18:14,ESP32,30,6
98,06/06/2023 18:14,ESP32,30,5
99,06/06/2023 18:15,ESP32,30,5
100,06/06/2023 18:15,ESP32,29,6
101,06/06/2023 18:16,ESP32,30,6
102,06/06/2023 18:16,ESP32,30,5
103,07/06/2023 14:23,ESP32,25,6
104,07/06/2023 14:23,ESP32,26,5
105,07/06/2023 14:24,ESP32,25,6
106,07/06/2023 14:24,ESP32,29,5
107,07/06/2023 14:25,ESP32,30,5
108,07/06/2023 14:25,ESP32,29,5
109,07/06/2023 14:26,ESP32,28,6
110,07/06/2023 14:26,ESP32,29,5
111,07/06/2023 14:27,ESP32,28,5
112,07/06/2023 14:27,ESP32,28,5
113,07/06/2023 14:28,ESP32,27,5
114,07/06/2023 14:28,ESP32,27,6
115,07/06/2023 14:29,ESP32,27,6
116,07/06/2023 14:29,ESP32,26,5
